;date;cas_confirmes
0;2020-02-21;12.0
1;2020-02-22;12.0
2;2020-02-23;12.0
3;2020-02-24;12.0
4;2020-02-25;14.0
5;2020-02-26;18.0
6;2020-02-27;38.0
7;2020-02-28;73.0
8;2020-02-29;100.0
9;2020-03-01;130.0
10;2020-03-02;191.0
11;2020-03-03;212.0
12;2020-03-04;285.0
13;2020-03-05;423.0
14;2020-03-06;613.0
15;2020-03-07;949.0
16;2020-03-08;1126.0
17;2020-03-09;1412.0
18;2020-03-10;1784.0
19;2020-03-11;2281.0
20;2020-03-12;2876.0
21;2020-03-13;3661.0
22;2020-03-14;4499.0
23;2020-03-15;5423.0
24;2020-03-16;6633.0
25;2020-03-17;7730.0
26;2020-03-18;9134.0
27;2020-03-19;10995.0
28;2020-03-20;12612.0
29;2020-03-21;14459.0
30;2020-03-22;16018.0
31;2020-03-23;19856.0
32;2020-03-24;22302.0
33;2020-03-25;25230.0
34;2020-03-26;29155.0
35;2020-03-27;32964.0
36;2020-03-28;37575.0
37;2020-03-29;40174.0
38;2020-03-30;44550.0
39;2020-03-31;52128.0
40;2020-04-01;56989.0
41;2020-04-02;59105.0
42;2020-04-03;64338.0
43;2020-04-04;68605.0
44;2020-04-05;70478.0
45;2020-04-06;74389.0
46;2020-04-07;78167.0
47;2020-04-08;82048.0
48;2020-04-09;86334.0
49;2020-04-10;90676.0
50;2020-04-11;93790.0
51;2020-04-12;95403.0
52;2020-04-13;98076.0
53;2020-04-14;103573.0
54;2020-04-15;106206.0
55;2020-04-16;108847.0
56;2020-04-17;109252.0
57;2020-04-18;111821.0
58;2020-04-19;112606.0
59;2020-04-20;114657.0
60;2020-04-21;117324.0
61;2020-04-22;119151.0
62;2020-04-23;120804.0
63;2020-04-24;122577.0
64;2020-04-25;124114.0
65;2020-04-26;124575.0
66;2020-04-27;125770.0
67;2020-04-28;126835.0
68;2020-04-29;128442.0
69;2020-04-30;129581.0
70;2020-05-01;130185.0
71;2020-05-02;130979.0
72;2020-05-03;131287.0
73;2020-05-04;131863.0
74;2020-05-05;132967.0
75;2020-05-06;137150.0
76;2020-05-07;137779.0
77;2020-05-08;138421.0
78;2020-05-09;138854.0
79;2020-05-10;139063.0
80;2020-05-11;139519.0
81;2020-05-12;140227.0
82;2020-05-13;140734.0
83;2020-05-14;141356.0
84;2020-05-15;141919.0
85;2020-05-16;142291.0
86;2020-05-17;142411.0
87;2020-05-18;142903.0
88;2020-05-19;143427.0
89;2020-05-20;143845.0
90;2020-05-21;144163.0
91;2020-05-22;144566.0
92;2020-05-23;144806.0
93;2020-05-24;144921.0
94;2020-05-25;145279.0
95;2020-05-26;145555.0
96;2020-05-27;145746.0
97;2020-05-28;149071.0
98;2020-05-29;149668.0
99;2020-05-30;151496.0
100;2020-05-31;151753.0
101;2020-06-01;152091.0
102;2020-06-02;151325.0
103;2020-06-03;151677.0
104;2020-06-04;152444.0
105;2020-06-05;153055.0
106;2020-06-06;153634.0
107;2020-06-07;153977.0
108;2020-06-08;154188.0
109;2020-06-09;154591.0
110;2020-06-10;155136.0
111;2020-06-11;155561.0
112;2020-06-12;156287.0
113;2020-06-13;156813.0
114;2020-06-14;157220.0
115;2020-06-15;157372.0
116;2020-06-16;157716.0
117;2020-06-17;158174.0
118;2020-06-18;158641.0
119;2020-06-19;159452.0
120;2020-06-20;160093.0
121;2020-06-21;160377.0
122;2020-06-22;160750.0
123;2020-06-23;161267.0
124;2020-06-24;161348.0
125;2020-06-25;161348.0
126;2020-06-26;162936.0
127;2020-06-27;163454.0
128;2020-06-28;163980.0
129;2020-06-29;164260.0
130;2020-06-30;164801.0
131;2020-07-01;165719.0
132;2020-07-02;166378.0
133;2020-07-03;166960.0
134;2020-07-06;168335.0
135;2020-07-07;168810.0
136;2020-07-08;169473.0
137;2020-07-09;170094.0
138;2020-07-10;170752.0
139;2020-07-13;172377.0
140;2020-07-15;173304.0
141;2020-07-16;173838.0
142;2020-07-17;174674.0
143;2020-07-20;176754.0
144;2020-07-21;177338.0
145;2020-07-22;178336.0
146;2020-07-23;179398.0
147;2020-07-24;180528.0
148;2020-07-27;183079.0
149;2020-07-28;183804.0
150;2020-07-29;185196.0
151;2020-07-30;186573.0
152;2020-07-31;187919.0
153;2020-08-03;191295.0
154;2020-08-04;192334.0
155;2020-08-05;194029.0
156;2020-08-06;195633.0
157;2020-08-07;197921.0
158;2020-08-10;202775.0
159;2020-08-11;204172.0
160;2020-08-12;206696.0
161;2020-08-13;209365.0
162;2020-08-14;212211.0
163;2020-08-15;215521.0
164;2020-08-16;218536.0
165;2020-08-17;219029.0
166;2020-08-18;221267.0
167;2020-08-19;225043.0
168;2020-08-20;229814.0
169;2020-08-21;234400.0
170;2020-08-22;238002.0
171;2020-08-23;242899.0
172;2020-08-24;244854.0
173;2020-08-25;248158.0
174;2020-08-26;253587.0
175;2020-08-27;259698.0
176;2020-08-28;267077.0
177;2020-08-29;273530.0
