;index;Country_Region;Lat;Long_;Confirmed;Deaths;Recovered
0;0;Afghanistan;33.93911;67.709953;38143;1402;29063.0
1;1;Albania;41.1533;20.1683;9195;271;4923.0
2;2;Algeria;28.0339;1.6596;43403;1483;30436.0
3;3;Andorra;42.5063;1.5218;1124;53;902.0
4;4;Angola;-11.2027;17.8739;2471;106;1028.0
5;5;Antigua and Barbuda;17.0608;-61.7964;94;3;89.0
6;6;Argentina;-38.4161;-63.6167;392009;8271;280165.0
7;7;Armenia;40.0691;45.0382;43626;872;37563.0
8;8;Australia;-25.0;133.0;25547;600;20854.0
9;9;Austria;47.5162;14.5501;26985;733;22866.0
10;10;Azerbaijan;40.1431;47.5769;35986;527;33461.0
11;11;Bahamas;25.025885;-78.035889;2057;50;755.0
12;12;Bahrain;26.0275;50.55;51113;189;47760.0
13;13;Bangladesh;23.685;90.3563;308925;4206;198863.0
14;14;Barbados;13.1939;-59.5432;166;7;141.0
15;15;Belarus;53.7098;27.9534;71346;667;69887.0
16;16;Belgium;50.8333;4.469936;83952;9886;18360.0
17;17;Belize;17.1899;-88.4976;870;12;93.0
18;18;Benin;9.3077;2.3158;2145;40;1738.0
19;19;Bhutan;27.5142;90.4336;195;0;135.0
20;20;Bolivia;-16.2902;-63.5887;114409;4846;54914.0
21;21;Bosnia and Herzegovina;43.9159;17.6791;19214;591;12733.0
22;22;Botswana;-22.3285;24.6849;1562;3;199.0
23;23;Brazil;-14.235;-51.9253;3804803;119504;3158783.0
24;24;Brunei;4.5353;114.7277;144;3;139.0
25;25;Bulgaria;42.7339;25.4858;16065;603;11231.0
26;26;Burkina Faso;12.2383;-1.5616;1352;55;1058.0
27;27;Burma;21.9162;95.956;656;6;349.0
28;28;Burundi;-3.3731;29.9189;433;1;345.0
29;29;Cabo Verde;16.5388;-23.0418;3745;38;2807.0
30;30;Cambodia;11.55;104.9167;273;0;265.0
31;31;Cameroon;3.848;11.5021;19142;411;17651.0
32;32;Canada;60.001;-95.001;129342;9155;115029.0
33;33;Central African Republic;6.6111;20.9394;4700;61;1784.0
34;34;Chad;15.4542;18.7322;1008;77;878.0
35;35;Chile;-35.6751;-71.543;405972;11132;379452.0
36;36;China;30.5928;114.3055;89836;4718;84419.0
37;37;Colombia;4.5709;-74.2973;590492;18766;429608.0
38;38;Comoros;-11.6455;43.3333;422;7;399.0
39;39;Congo (Brazzaville);-0.228;15.8277;3979;78;1742.0
40;40;Congo (Kinshasa);-4.0383;21.7587;9994;255;9035.0
41;41;Costa Rica;9.7489;-83.7534;38485;407;14664.0
42;42;Cote d'Ivoire;7.54;-5.5471;17797;115;16315.0
43;43;Croatia;45.1;15.2;9549;180;6809.0
44;44;Cuba;21.521757;-77.781167;3866;92;3222.0
45;45;Cyprus;35.1264;33.4299;1481;20;935.0
46;46;Czechia;49.8175;15.473;23777;419;17497.0
47;47;Denmark;56.2639;9.5018;17125;624;15252.0
48;48;Diamond Princess;;;712;13;651.0
49;49;Djibouti;11.8251;42.5903;5383;60;5307.0
50;50;Dominica;15.415;-61.371;20;0;18.0
51;51;Dominican Republic;18.7357;-70.1627;93390;1648;65285.0
52;52;Ecuador;-1.8312;-78.1834;112141;6504;95311.0
53;53;Egypt;26.820553;30.802498;98285;5362;70419.0
54;54;El Salvador;13.7942;-88.8965;25537;708;13799.0
55;55;Equatorial Guinea;1.6508;10.2679;4941;83;3884.0
56;56;Eritrea;15.1794;39.7823;317;0;284.0
57;57;Estonia;58.5953;25.0136;2363;64;2086.0
58;58;Eswatini;-26.5225;31.4659;4461;91;3210.0
59;59;Ethiopia;9.145;40.4897;48140;758;17415.0
60;60;Fiji;-17.7134;178.065;28;2;23.0
61;61;Finland;61.9241;25.7482;8042;335;7200.0
62;62;France;46.2276;2.2137;304947;30601;86495.0
63;63;Gabon;-0.8037;11.6094;8505;53;7187.0
64;64;Gambia;13.4432;-15.3101;2797;96;743.0
65;65;Georgia;42.3154;43.3569;1462;19;1196.0
66;66;Germany;51.165691;10.451526;242126;9296;214732.0
67;67;Ghana;7.9465;-1.0232;43949;270;42392.0
68;68;Greece;39.0742;21.8243;9800;259;1347.0
69;69;Grenada;12.1165;-61.679;24;0;24.0
70;70;Guatemala;15.7835;-90.2308;72921;2709;60534.0
71;71;Guinea;9.9456;-9.6966;9251;59;8282.0
72;72;Guinea-Bissau;11.8037;-15.1804;2205;34;1127.0
73;73;Guyana;4.860416;-58.93018;1180;35;633.0
74;74;Haiti;18.9712;-72.2852;8161;201;5743.0
75;75;Holy See;41.9029;12.4534;12;0;12.0
76;76;Honduras;15.2;-86.2419;58810;1827;10076.0
77;77;Hungary;47.1625;19.5033;5669;614;3759.0
78;78;Iceland;64.9631;-19.0208;2092;10;1964.0
79;79;India;20.593684;78.96288;3463972;62550;2648998.0
80;80;Indonesia;-0.7893;113.9213;169195;7261;122802.0
81;81;Iran;32.427908;53.688046;369911;21249;318270.0
82;82;Iraq;33.223191;43.679291;223612;6814;164874.0
83;83;Ireland;53.1424;-7.6921;28578;1777;23364.0
84;84;Israel;31.046051;34.851612;112000;894;91051.0
85;85;Italy;41.8719;12.5674;265409;35472;206902.0
86;86;Jamaica;18.1096;-77.2975;2011;19;888.0
87;87;Japan;36.204824;138.252924;66994;1254;53691.0
88;88;Jordan;31.24;36.51;1869;15;1367.0
89;89;Kazakhstan;48.0196;66.9237;105558;1523;95888.0
90;90;Kenya;-0.0236;37.9062;33630;567;19434.0
91;91;Korea, South;35.907757;127.766922;19400;321;14765.0
92;92;Kosovo;42.602636;20.902977;12683;488;8788.0
93;93;Kuwait;29.31166;47.481766;83578;525;75320.0
94;94;Kyrgyzstan;41.20438;74.766098;43712;1057;37973.0
95;95;Laos;19.85627;102.495496;22;0;21.0
96;96;Latvia;56.8796;24.6032;1381;34;1163.0
97;97;Lebanon;33.8547;35.8623;15613;148;4260.0
98;98;Lesotho;-29.61;28.2336;1051;31;526.0
99;99;Liberia;6.428055;-9.429499;1298;82;832.0
100;100;Libya;26.3351;17.228331;12629;226;1310.0
101;101;Liechtenstein;47.14;9.55;106;1;96.0
102;102;Lithuania;55.1694;23.8813;2839;86;1833.0
103;103;Luxembourg;49.8153;6.1296;6580;124;7140.0
104;104;MS Zaandam;;;9;2;
105;105;Madagascar;-18.766947;46.869107;14696;187;13709.0
106;106;Malawi;-13.2543;34.3015;5523;174;3143.0
107;107;Malaysia;4.210484;101.975766;9317;125;9038.0
108;108;Maldives;3.2028;73.2207;7469;28;4873.0
109;109;Mali;17.570692;-3.996166;2736;126;2055.0
110;110;Malta;35.9375;14.3754;1820;10;1186.0
111;111;Mauritania;21.0079;-10.9408;7012;158;6407.0
112;112;Mauritius;-20.348404;57.552152;355;10;335.0
113;113;Mexico;23.6345;-102.5528;585738;63146;479770.0
114;114;Moldova;47.4116;28.3699;35904;981;24156.0
115;115;Monaco;43.7333;7.4167;154;4;116.0
116;116;Mongolia;46.8625;103.8467;301;0;291.0
117;117;Montenegro;42.708678;19.37439;4663;92;3731.0
118;118;Morocco;31.7917;-7.0926;58489;1052;43049.0
119;119;Mozambique;-18.665695;35.529562;3697;21;2055.0
120;120;Namibia;-22.9576;18.4904;6906;65;2789.0
121;121;Nepal;28.1667;84.25;36456;195;20242.0
122;122;Netherlands;52.3167;5.55;71557;6247;964.0
123;123;New Zealand;-40.9006;174.886;1727;22;1568.0
124;124;Nicaragua;12.865416;-85.207229;4494;137;2913.0
125;125;Niger;17.607789;8.081666;1175;69;1085.0
126;126;Nigeria;9.082;8.6753;53477;1011;41017.0
127;127;North Macedonia;41.6086;21.7453;14163;590;10933.0
128;128;Norway;60.472;8.4689;10582;264;9348.0
129;129;Oman;21.512583;55.923255;85005;650;79608.0
130;130;Pakistan;30.3753;69.3451;295372;6284;280340.0
131;131;Panama;8.538;-80.7821;90624;1966;64602.0
132;132;Papua New Guinea;-6.314993;143.95555;453;5;232.0
133;133;Paraguay;-23.4425;-58.4438;15873;280;8595.0
134;134;Peru;-9.19;-75.0152;629961;28471;429662.0
135;135;Philippines;12.879721;121.774017;213131;3419;135101.0
136;136;Poland;51.9194;19.1451;66239;2032;45536.0
137;137;Portugal;39.3999;-8.2245;57074;1815;41556.0
138;138;Qatar;25.3548;51.1839;118196;196;115017.0
139;139;Romania;45.9432;24.9668;84468;3507;37056.0
140;140;Russia;61.524;105.3188;982573;16977;802365.0
141;141;Rwanda;-1.9403;29.8739;3742;16;1866.0
142;142;Saint Kitts and Nevis;17.357822;-62.782998;17;0;17.0
143;143;Saint Lucia;13.9094;-60.9789;26;0;25.0
144;144;Saint Vincent and the Grenadines;12.9843;-61.2872;60;0;57.0
145;145;San Marino;43.9424;12.4578;710;42;658.0
146;146;Sao Tome and Principe;0.1864;6.6131;895;15;848.0
147;147;Saudi Arabia;23.885942;45.079162;312924;3813;287403.0
148;148;Senegal;14.4974;-14.4524;13384;279;9091.0
149;149;Serbia;44.0165;21.0059;31207;709;
150;150;Seychelles;-4.6796;55.492;136;0;127.0
151;151;Sierra Leone;8.460555;-11.779889;2013;70;1581.0
152;152;Singapore;1.2833;103.8333;56717;27;55337.0
153;153;Slovakia;48.669;19.699;3842;33;2254.0
154;154;Slovenia;46.1512;14.9955;2797;133;2236.0
155;155;Somalia;5.152149;46.199616;3275;95;2481.0
156;156;South Africa;-30.5595;22.9375;620132;13743;533935.0
157;157;South Sudan;6.877;31.307;2518;47;1290.0
158;158;Spain;40.463667;-3.74922;439286;29011;150376.0
159;159;Sri Lanka;7.873054;80.771797;2989;12;2849.0
160;160;Sudan;12.8628;30.2176;13082;823;6603.0
161;161;Suriname;3.9193;-56.0278;3848;66;2971.0
162;162;Sweden;60.1282;18.6435;83958;5821;
163;163;Switzerland;46.8182;8.2275;41346;2004;34800.0
164;164;Syria;34.802075;38.996815;2563;103;584.0
165;165;Taiwan*;23.7;121.0;487;7;462.0
166;166;Tajikistan;38.861;71.2761;8481;68;7276.0
167;167;Tanzania;-6.369028;34.888822;509;21;183.0
168;168;Thailand;15.870032;100.992541;3411;58;3242.0
169;169;Timor-Leste;-8.874217;125.727539;27;0;25.0
170;170;Togo;8.6195;0.8248;1365;27;981.0
171;171;Trinidad and Tobago;10.6918;-61.2225;1554;19;628.0
172;172;Tunisia;33.886917;9.537499;3461;74;1522.0
173;173;Turkey;38.9637;35.2433;265515;6245;241809.0
174;174;US;40.0;-100.0;5917817;181775;2118367.0
175;175;Uganda;1.373333;32.290275;2756;28;1288.0
176;176;Ukraine;48.3794;31.1656;119751;2540;58156.0
177;177;United Arab Emirates;23.424076;53.847818;68901;379;59861.0
178;178;United Kingdom;55.0;-3.0;333806;41573;1615.0
179;179;Uruguay;-32.5228;-55.7658;1556;43;1352.0
180;180;Uzbekistan;41.377491;64.585262;40953;305;37947.0
181;181;Venezuela;6.4238;-66.5897;43879;366;34972.0
182;182;Vietnam;14.058324;108.277199;1038;31;663.0
183;183;West Bank and Gaza;31.9522;35.2332;21251;145;14291.0
184;184;Western Sahara;24.2155;-12.8858;10;1;8.0
185;185;Yemen;15.552727;48.516388;1943;563;1107.0
186;186;Zambia;-13.133897;27.849332;11779;283;10945.0
187;187;Zimbabwe;-19.015438;29.154857;6388;195;5043.0
